Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41183735,Two Arms and a Head: The Death of a Newly Paraplegic Philosopher,Clayton Atreus,"Atreus, Clayton",,"=""""","=""""",4,4.40,Self-Published,ebook,,2008,,,2020/10/13,,,read,,,,1,,,0,,,,,
11012,Dubliners,James Joyce,"Joyce, James",Jeri Johnson,"=""0192839993""","=""9780192839992""",4,3.85,Oxford University Press,Paperback,207,2001,1914,,2020/10/02,,,read,,,,1,,,0,,,,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",5,4.38,Knopf Publishing Group,Hardcover,339,2018,2018,,2020/09/19,"fun, contemporary, epic","fun (#5), contemporary (#2), epic (#3)",read,This was a crazy read and I have an overwhelming urge to start learning more about journalism.,,,1,,,0,,,,,
18796,In Search of Lost Time,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Andreas Mayor, Terence Kilmartin, D.J. Enright, Richard Howard","=""0812969642""","=""9780812969641""",0,4.36,Modern Library,Paperback,4211,2003,1927,,2020/09/19,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",3,3.92,Ace,Paperback,525,1991,1961,2020/09/13,2020/07/25,,,read,,,,1,,,0,,,,,
51924687,Radical Uncertainty: Decision-Making Beyond the Numbers,John Kay,"Kay, John",Mervyn A. King,"=""1324004789""","=""9781324004783""",0,3.97,W. W. Norton  Company,ebook,544,2020,2020,,2020/08/22,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
39863294,Waste Tide,Chen Qiufan,"Qiufan, Chen",Ken Liu,"=""0765389312""","=""9780765389312""",2,3.34,Tor Books,Hardcover,352,2019,2013,,2020/08/20,socioscifi,socioscifi (#10),read,,,,1,,,0,,,,,
17961,Collected Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,"=""0140286802""","=""9780140286809""",5,4.58,Penguin Classics Deluxe Edition,Paperback,565,1999,1998,2019/01/01,2020/07/24,"ontoscifi, philosophical","ontoscifi (#6), philosophical (#9)",read,"Edit: I’m dumb. Haven’t actually finished this yet. These stories are a lot richer and more creative than I expected.<br/>The stories weren't bad, they did contain a lot of references that felt outdated and difficult for me to grasp. I can see how influential this writing was in inspiring great modern sci-fi though. The best stories were Tlon & Babel.<br/><br/>To be honest, I was hoping for a lot more, sharper focused alternate universe stories like Library of Babel, and less general musings about nature.",,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2020/08/12,,,read,"Thoughts <br/>-- tech is not necessarily suppression of human emotion<br/>-- its telling a blip of history far past the end of it<br/>-- Brave New World is a story and not a philosophical manifesto : while the issues of human suffering and meaning are present it is not necessarily satirical and no strong beliefs are forced on the reader<br/>-- it is a very ""political"" book<br/>--The dichotomy drawn between god/various conceptions of suffering and various conceptions of ""happiness"" is fuzzy and not super justified -- this makes the book itself somewhat topical. I don't think eliminating cancer and syphilis is at all debatable so that was a weird concept to lump into the rest.",,,1,,,0,,,,,
46945,Requiem for a Dream,Hubert Selby Jr.,"Jr., Hubert Selby","Darren Aronofsky, Richard Price","=""1560252480""","=""9781560252481""",0,4.07,Da Capo Press,Paperback,279,1999,1978,,2020/08/11,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
40881621,The Book of Disquiet: The Complete Edition,Fernando Pessoa,"Pessoa, Fernando",,"=""""","=""""",0,4.43,New Directions,Kindle Edition,433,2017,1982,,2020/08/11,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
730139,Gravity and Grace,Simone Weil,"Weil, Simone",,"=""0415290015""","=""9780415290012""",0,4.30,Routledge,Paperback,183,2002,1947,,2020/08/11,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
48635845,Little Eyes,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,"=""0525541365""","=""9780525541363""",2,3.63,Riverhead Books,Hardcover,256,2020,2018,,2020/08/09,,,read,"Gave it a few chapters before realizing that it was really not about to get better. The one scene with any emotional heft was the senior living center and that was really short and did not capitalize. Black mirror, but boring and mundane. ",,,1,,,0,,,,,
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",4,4.18,Grand Central Publishing,Paperback,345,2000,1993,2019/01/01,2020/07/28,"socioscifi, philosophical, xrisk, epic","socioscifi (#9), philosophical (#15), xrisk (#4), epic (#2)",read,Visionary and chilling image of an America that might as well be ours soon.,,,1,,,0,,,,,
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",3,3.86,Knopf Publishing Group,Hardcover,188,2008,2007,2020/07/28,2020/07/24,philosophical,philosophical (#14),read,"Worth reading for sure, but did not make much as much of an impact on me as I had expected. In a way, Murakami chooses to keep a certain ambiguity around running & its meaning to him, which was kind of disappointing.",,,1,,,0,,,,,
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",3,3.86,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,2020/07/26,2020/07/25,,,read,"This was going to be a two-star review until the last third of the book, where things got significantly better.<br/><br/>Some parts don't make sense: why is Bob fevered only at nighttime? What is the purpose of the ""facility"" anyways? And while the whole US vs China manufacturing/immigrant story is nice, its not the same nostalgia as New York.<br/><br/>What I liked: The immigrant story hidden inside is poignant at times, but what I really liked was the construction of Shen Fever as repetitive motions -- the idea of common routines, of collective memory of malls and living spaces. The connection between stalking and consumerism was also really interesting, but it could have explored more thoroughly along with the connections between urban life/nostalgia-- maybe there were two novels here. <br/><br/><br/><br/>",true,,1,,,0,,,,,
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",3,3.68,Crown,Hardcover,305,2017,2017,2018/01/01,2020/07/25,"socioscifi, fun","socioscifi (#8), fun (#4)",read,Passably good speculative fiction with some not-entirely-unexpected twists.,,,1,,,0,,,,,
9827,"King Rat (Asian Saga, #4)",James Clavell,"Clavell, James",,"=""0385333765""","=""9780385333764""",4,4.15,Delta,Paperback,368,2009,1962,2019/01/01,2020/07/25,,,read,"Well written and an interesting book, nice to find something out of my normal subjects.",,,1,,,0,,,,,
174174,Cold Skin,Albert Sánchez Piñol,"Piñol, Albert Sánchez",Cheryl Leah Morgan,"=""1841958832""","=""9781841958835""",4,3.66,Canongate U.S.,Paperback,240,2007,2002,,2020/07/25,"epic, fun, socioscifi, philosophical","epic (#1), fun (#3), socioscifi (#7), philosophical (#13)",read,Good (scary).,,,1,,,0,,,,,
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",0,3.90,Harper,Hardcover,264,2016,2016,2019/01/01,2020/07/25,"america, class, topical","america (#2), class (#1), topical (#7)",read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.17,"Little, Brown and Company",Hardcover,309,2008,2008,,2020/07/24,"cogsci, topical","cogsci (#3), topical (#6)",read,,,,1,,,0,,,,,
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",4,4.09,Penguin Books,Paperback,368,2020,2017,,2020/07/24,"art, fun","art (#2), fun (#2)",read,,,,1,,,0,,,,,
176907,Modern Art: A Very Short Introduction,David Cottington,"Cottington, David",,"=""0192803646""","=""9780192803641""",0,3.61,Oxford University Press,Paperback,152,2005,2005,2020/07/24,2020/07/24,"topical, art","topical (#5), art (#1)",read,I liked the book. (2005),,,1,,,0,,,,,
678049,Ethics: A Very Short Introduction,Simon Blackburn,"Blackburn, Simon",,"=""0192804421""","=""9780192804426""",0,3.39,Oxford University Press,Paperback,152,2009,2009,,2020/07/24,philosophical,philosophical (#7),read,I thought this answered important concerns and left appropriately important questions unresolved/up to the reader. I also didn't think the author was particularly biased.,,,1,,,0,,,,,
46114,The Waves,Virginia Woolf,"Woolf, Virginia",,"=""0156949601""","=""9780156949606""",0,4.15,Harvest Books,Paperback,297,1978,1931,,2020/07/24,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",4,4.10,Harcourt,Paperback,165,1974,1972,2020/01/01,2020/07/24,"socioscifi, philosophical, ontoscifi","socioscifi (#6), philosophical (#12), ontoscifi (#7)",read,"This book was very evocative, crazily inventive at times, and has some very well thought out symmetry. That being said, several of the cities are really kind of boring: I can see what is supposed to be interesting about them, but it doesn't quite work out-- maybe lost in translation.<br/><br/>At any rate, the book as a whole is able to blend modern and ancient references extremely well -- there's a deep inquiry about WHAT a concept, a graveyard, a port city really is, irrespective of the temporal aspects of it. The Mongol Khanate is eternal!<br/>",,,2,,,0,,,,,
18222747,Collection of Sand,Italo Calvino,"Calvino, Italo",Martin L. McLaughlin,"=""0544146468""","=""9780544146464""",3,3.85,Mariner Books,Paperback,240,2014,1984,2020/01/01,2020/07/24,,,read,"I really, really wanted to like this book after reading Invisible Cities but the subject matter and the diluted quality of the commentary is very difficult to get through. There are interesting parts like the Traveler in the Map -- I think that if this was written around contemporary artifacts it would be more relevant.",,,2,,,0,,,,,
38718858,"The Stormlight Archive, Books 1-3: (The Way of Kings, Words of Radiance, Oathbringer)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.78,Tor Books,Kindle Edition,3823,2018,,2019/01/01,2020/07/24,fun,fun (#1),read,:) ,,,1,,,0,,,,,
11989,The Plague,Albert Camus,"Camus, Albert","Stuart Gilbert, Ersílio Cardoso, Valery Rumjanek, Susana Cordero Espinosa","=""""","=""""",4,4.01,Vintage International,Paperback,308,1991,1947,2020/01/01,2020/07/24,"philosophical, topical","philosophical (#11), topical (#4)",read,This book is mainly about heroism/living with yourself. Although the plague is not a metaphor for the Nazis it might as well be.,,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",3,4.00,Vintage International,Paperback,123,1989,1942,2020/01/01,2020/07/24,,,read,What is perhaps a very unique perspective is also very alienating -- I don't believe that Mersault is a natural character but rather a kind of caricature of the tiny and apathetic. <br/><br/>,,,2,,,0,,,,,
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",5,4.18,W. W. Norton  Company,Paperback,224,2018,1996,,2020/07/24,"philosophical, contemporary","philosophical (#10), contemporary (#1)",read,An evocative and deeply disturbing story that resonates with me.,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,399,2014,2006,2018/01/01,2020/07/24,,,read,,,,1,,,0,,,,,
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",2,3.98,Harper,Paperback,228,2005,1983,,2020/07/24,"ontoscifi, humor, xrisk","ontoscifi (#5), humor (#3), xrisk (#3)",read,Hitchhikers >> Terry Pratchett,,,1,,,0,,,,,
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",5,4.22,Small Beer Press,ebook,281,2010,2002,2019/01/01,2020/07/24,"ontoscifi, cogsci, philosophical","ontoscifi (#4), cogsci (#2), philosophical (#8)",read,,,,1,,,0,,,,,
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",4,4.27,Knopf,Kindle Edition,352,2019,2019,,2020/07/24,,,read,,,,1,,,0,,,,,
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451196716""","=""9780451196712""",3,4.08,Signet,Mass Market Paperback,370,1999,1979,2017/01/01,2020/07/24,,,read,,,,1,,,0,,,,,
11830394,2312,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098124""","=""9780316098120""",5,3.53,Orbit,Hardcover,561,2012,2012,2019/01/01,2020/07/24,"socioscifi, philosophical","socioscifi (#3), philosophical (#3)",read,"I have a soft spot for descriptive sociology-science-fiction conjectures, like with Blackfish City, I also really liked this book. Read it on the cruise-- even though I'm not really a fan of Kim Stanley Robinson this was a very fun and agreeable look into the near future.",,,1,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",2,4.10,William Morrow,Kindle Edition,635,2011,2001,2020/07/24,2020/07/24,,,read,BLEH,,,1,,,0,,,,,
36436073,Create Dangerously,Albert Camus,"Camus, Albert",Justin O'Brien,"=""024133912X""","=""9780241339121""",3,3.82,Penguin Classics,Paperback,58,2018,1957,2018/01/01,2020/07/24,,,read,"Well, we aren't living in wartime, and Camus doesn't seem to recognize that a lot of abstraction is a direct challenge to the political/social reality -- so his criticisms of art ""detached"" from society is not super accurate. Not a lot of art strives to be purely decorative.",,,1,,,0,,,,,
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",3,3.97,HarperCollins EOS,Paperback,334,2006,1959,2018/01/01,2020/07/24,"philosophical, socioscifi, ontoscifi, xrisk","philosophical (#6), socioscifi (#5), ontoscifi (#3), xrisk (#2)",read,Something human condition something. ,,,1,,,0,,,,,
321660,Aliens & Anorexia,Chris Kraus,"Kraus, Chris",,"=""1584350016""","=""9781584350019""",5,4.05,Semiotext(e),Paperback,244,2000,2000,2019/01/01,2020/07/24,,,read,"A really difficult book but Chris Kraus is a genius, I want to write like her someday.<br/>",,,1,,,0,,,,,
39927096,Less,Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",3,3.66,Lee Boudreaux Books,Kindle Edition,273,2017,2017,,2020/07/24,"philosophical, humor","philosophical (#5), humor (#2)",read,"Eye-opening and mildly depressing, a little relaxing, not laugh-out-loud humor but a dry kind.<br/>",,,1,,,0,,,,,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",2,3.62,Vintage,Paperback,259,1992,1962,2018/01/01,2020/07/24,"ontoscifi, socioscifi","ontoscifi (#2), socioscifi (#2)",read,"Just ""OK"" -- difficult, obtuse, and its not clear that the reward for understanding the complex metaphysics is worth the time.",,,1,,,0,,,,,
22676110,"The Pocket Universal Principles of Design: 150 Essential Tools for Architects, Artists, Designers, Developers, Engineers, Inventors, and Makers",William Lidwell,"Lidwell, William",,"=""1631590405""","=""9781631590405""",5,4.42,Rockport Publishers,Paperback,320,2015,2015,2016/01/01,2020/07/24,"topical, design, cogsci","topical (#3), design (#1), cogsci (#1)",read,"It's ""nice"".<br/><br/>Possibly the most influential book on my thinking over the grades 7-11th and why I find similar ideas are so interesting -- because they are hidden patterns and people aren't catching them.<br/>",,,1,,,0,,,,,
18090165,What Should We Be Worried About? Real Scenarios That Keep Scientists Up at Night,John Brockman,"Brockman, John",,"=""006229623X""","=""9780062296238""",3,3.44,Harper Perennial,Paperback,478,2014,2014,2018/01/01,2020/07/24,"topical, xrisk","topical (#2), xrisk (#1)",read,This was honestly a really eye opening book although it is now quite outdated. A nice primer to the great worries of modern society though. We need a backup electric grid!<br/>,,,1,,,0,,,,,
23847913,Bridge of Words: Esperanto and the Dream of a Universal Language,Esther Schor,"Schor, Esther",,"=""0805090797""","=""9780805090796""",4,3.65,Metropolitan Books,Hardcover,384,2016,2015,2018/01/01,2020/07/24,topical,topical (#1),read,Fascinating and thought-provoking.,,,1,,,0,,,,,
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",5,4.36,Del Rey Books,Paperback,815,2002,1996,2019/01/01,2020/07/24,"philosophical, humor, ontoscifi","philosophical (#2), humor (#1), ontoscifi (#1)",read,Peak human creativity & diversionary thinking.,,,1,,,0,,,,,
35068768,Blackfish City,Sam J. Miller,"Miller, Sam J.",,"=""0062684841""","=""9780062684844""",4,3.59,Ecco,ebook,336,2018,2018,2019/01/01,2020/07/24,socioscifi,socioscifi (#1),read,"Very entertaining, expansive, and a nostalgic read for me. The ideas are not complex but the setting and the urban sprawl is really fun. Reminiscent of airports and headaches, but in a good way.",,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,2020/01/01,2020/07/23,philosophical,philosophical (#1),read,Extremely likeable and entertaining character & a really nice encapsulation of self-denial.,,,1,,,0,,,,,
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""0525520376""","=""9780525520375""",3,3.98,Knopf,Hardcover,294,2018,2018,2019/12/30,2019/12/21,,,read,,,,1,,,0,,,,,
